OrigColNameFromRNAExpressionValue_RNA_TaxaName,Tissue,TissueWODate,RNA_TaxaName,RNA_TaxaName_WOUnderscoreOrDot,HMP32Name,RawPhenotypeNames,CarotToco_GBSNames,AmesName,GRMZM2G057459,GRMZM2G148807
10343927_LMAD26_33-16_CTCATA,LMAD26,LMAD,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,13.64904
10344827_LMAN26_33-16_AGGCAT,LMAN26,LMAN,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,8.85642
KAKRNA3_GShoot_33-16_TGACAC,GShoot,GShoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0.73051,1.46101
KAKRNA4_10346258_GRoot_33-16_TGACAC,GRoot,GRoot,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0.39056,0.39056
KAKRNA23_10346932_L3Base_33-16_TGACAC,L3Base,L3Base,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0.81186,1.62371
KAKRNA24_L3Tip_33-16_TGACAC,L3Tip,L3Tip,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,2.97543
KAKRNA18_Kern_33-16_CGCGGA,Kern,Kern,33-16,33-16,282set_33-16,33-16,3316:8042MABXX:2:H8,Ames26771,0,5.22202
10343262_LMAN8_38-11_TCGTTC,LMAN8,LMAN,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0.93889,26.28898
KAKRNA23_10346932_L3Base_38-11_ATACTG,L3Base,L3Base,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,1.08375,0
KAKRNA24_L3Tip_38-11_ATACTG,L3Tip,L3Tip,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,16.45672
KAKRNA18_Kern_38-11_GCTCGA,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,0.57845
KAKRNA16_Kern_38-11_ACCTAC,Kern,Kern,38-11,38-11,282set_38-11Goodman-Buckler,38-11,3811:8042MABXX:3:B10,Ames26604,0,1.29189
10343264_LMAN26_4226_TGTGCA,LMAN26,LMAN,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,35.49574
10343927_LMAD26_4226_TGGCGA,LMAD26,LMAD,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,64.15634
KAKRNA5_GShoot_4226_TTCCGC,GShoot,GShoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0.27323,2.45911
KAKRNA6_10346261_GRoot_4226_TTCCGC,GRoot,GRoot,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,1.01786,1.01786
KAKRNA28_L3Base_4226_CGCAAC,L3Base,L3Base,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0.5027,6.03237
KAKRNA28_L3Mid_4226_CGAAGG,L3Mid,L3Mid,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0.61396,28.24201
KAKRNA28_L3Tip_4226_AATGAA,L3Tip,L3Tip,4226,4226,282set_4226,4226,4226:8042MABXX:3:A12,NSL30904,0,37.00463
