gid	ReadCount	CPM	FPKM	Tissue	Genotype
Zm00001d014458	77	50.58513398	15.14071654	LMAD	Va17
Zm00001d014451	3	1.004783325	0.291410477	LMAN	Va17
Zm00001d014456	85	28.46886088	9.546901705	LMAN	Va17
Zm00001d014458	161	53.92337179	16.13988979	LMAN	Va17
Zm00001d014451	0	0	0	Kern	Va14
Zm00001d014456	13	4.484713454	1.503928053	Kern	Va14
Zm00001d014458	6	2.069867748	0.619535393	Kern	Va14
Zm00001d014451	5	4.062967764	1.17835492	L3Tip	Va14
Zm00001d014456	38	30.87855501	10.35498156	L3Tip	Va14
Zm00001d014458	28	22.75261948	6.810122562	L3Tip	Va14
Zm00001d014451	3	2.114718885	0.613317542	L3Tip	Va17
Zm00001d014456	46	32.42568957	10.87380603	L3Tip	Va17
Zm00001d014458	64	45.11400288	13.50314363	L3Tip	Va17
Zm00001d014451	8	5.007909327	1.452409898	L3Base	Va17
Zm00001d014456	5	3.12994333	1.049612116	L3Base	Va17
Zm00001d014458	44	27.5435013	8.244088985	L3Base	Va17
Zm00001d014451	13	5.634401589	1.634107189	GShoot	Va17
Zm00001d014456	13	5.634401589	1.889470687	GShoot	Va17
Zm00001d014458	33	14.30271172	4.280967293	GShoot	Va17
Zm00001d014451	7	3.418416857	0.991420202	L3Tip	CI21E
Zm00001d014456	14	6.836833714	2.292700776	L3Tip	CI21E
Zm00001d014458	147	71.786754	21.486607	L3Tip	CI21E
Zm00001d014451	3	0.984843786	0.285627548	GShoot	CML202
Zm00001d014456	7	2.297968835	0.770613291	GShoot	CML202
Zm00001d014458	53	17.39890689	5.207694371	GShoot	CML202
Zm00001d014451	8	2.245841719	0.651346206	GRoot	CML133
Zm00001d014456	5	1.403651074	0.470707939	GRoot	CML133
Zm00001d014458	37	10.38701795	3.108954789	GRoot	CML133
Zm00001d014451	6	2.169654832	0.629250241	GShoot	CML192
Zm00001d014456	6	2.169654832	0.72758378	GShoot	CML192
Zm00001d014458	43	15.54919296	4.654053565	GShoot	CML192
Zm00001d014451	0	0	0	Kern	CML103
Zm00001d014456	1	0.530039343	0.177746258	Kern	CML103
Zm00001d014458	7	3.710275399	1.110528404	Kern	CML103
Zm00001d014451	9	3.171187577	0.919717975	GShoot	CML133
Zm00001d014456	4	1.409416701	0.472641416	GShoot	CML133
Zm00001d014458	50	17.61770876	5.273184305	GShoot	CML133
Zm00001d014451	1	0.582467805	0.168929178	L3Tip	CML103
Zm00001d014456	53	30.87079369	10.35237884	L3Tip	CML103
Zm00001d014458	74	43.1026176	12.90111272	L3Tip	CML103
Zm00001d014451	5	1.85847884	0.539001984	L3Base	CML103
Zm00001d014456	8	2.973566145	0.997171745	L3Base	CML103
Zm00001d014458	79	29.36396568	8.788975061	L3Base	CML103
Zm00001d014451	13	4.87278909	1.413221894	GShoot	CML103
Zm00001d014456	5	1.87414965	0.628487475	GShoot	CML103
Zm00001d014458	44	16.49251692	4.936401353	GShoot	CML103
Zm00001d014451	3	1.404654506	0.407382397	GRoot	CML103
Zm00001d014456	0	0	0	GRoot	CML103
Zm00001d014458	16	7.4914907	2.242289943	GRoot	CML103
Zm00001d014451	0	0	0	Kern	Va99
Zm00001d014456	3	1.268692144	0.425450082	Kern	Va99
Zm00001d014458	17	7.189255484	2.151827442	Kern	Va99
Zm00001d014451	2	0.852490756	0.247242099	Kern	CI21E
Zm00001d014456	1	0.426245378	0.142939429	Kern	CI21E
Zm00001d014458	13	5.541189916	1.658542327	Kern	CI21E
Zm00001d014451	2	1.619424014	0.469670538	L3Tip	Va99
Zm00001d014456	13	10.52625609	3.52993162	L3Tip	Va99
Zm00001d014458	11	8.906832077	2.665918012	L3Tip	Va99
Zm00001d014451	3	1.894405046	0.549421417	L3Base	Va99
Zm00001d014456	4	2.525873395	0.847040038	L3Base	Va99
Zm00001d014458	29	18.31258211	5.481167947	L3Base	Va99
Zm00001d014451	11	2.40071059	0.696261772	GShoot	Va99
Zm00001d014456	10	2.182464173	0.731879334	GShoot	Va99
Zm00001d014458	67	14.62250996	4.376686609	GShoot	Va99
Zm00001d014451	8	4.034766177	1.170175805	LMAN	Va99
Zm00001d014456	55	27.73901747	9.302152068	LMAN	Va99
Zm00001d014458	182	91.79093053	27.47408875	LMAN	Va99
Zm00001d014451	2	0.398023577	0.115436072	Kern	Va85
Zm00001d014456	26	5.174306505	1.735179914	Kern	Va85
Zm00001d014458	19	3.781223984	1.131764138	Kern	Va85
Zm00001d014451	0	0	0	L3Tip	Va85
Zm00001d014456	1	0.962849372	0.322887113	L3Tip	Va85
Zm00001d014458	41	39.47682424	11.81587077	L3Tip	Va85
Zm00001d014451	0	0	0	LMAD	Tzi25
Zm00001d014456	87	85.21321551	28.57586033	LMAD	Tzi25
Zm00001d014458	91	89.1310645	26.67796004	LMAD	Tzi25
Zm00001d014451	1	0.310649919	0.090095684	LMAN	Tzi25
Zm00001d014456	101	31.37564186	10.52167735	LMAN	Tzi25
Zm00001d014458	124	38.52059001	11.52965879	LMAN	Tzi25
Zm00001d014451	0	0	0	L3Tip	Tzi18
Zm00001d014456	41	38.57133935	12.93472145	L3Tip	Tzi18
Zm00001d014458	31	29.16369561	8.729031909	L3Tip	Tzi18
Zm00001d014451	1	0.302328753	0.087682353	Kern	Tzi18
Zm00001d014456	3	0.906986259	0.304153675	Kern	Tzi18
Zm00001d014458	5	1.511643765	0.452452489	Kern	Tzi18
Zm00001d014451	14	4.369064356	1.267130034	L3Base	CI28AGoodman-Buckler
Zm00001d014456	8	2.496608204	0.837226091	L3Base	CI28AGoodman-Buckler
Zm00001d014458	86	26.83853819	8.03308536	L3Base	CI28AGoodman-Buckler
Zm00001d014451	6	3.509440407	1.017819143	L3Base	Tzi18
Zm00001d014456	2	1.169813469	0.392291572	L3Base	Tzi18
Zm00001d014458	30	17.54720203	5.252080824	L3Base	Tzi18
Zm00001d014451	4	1.648259054	0.478033368	GRoot	Tzi18
Zm00001d014456	1	0.412064763	0.138184025	GRoot	Tzi18
Zm00001d014458	13	5.356841924	1.603364838	GRoot	Tzi18
Zm00001d014451	6	2.570550827	0.745519381	LMAN	Tzi18
Zm00001d014456	48	20.56440662	6.896179282	LMAN	Tzi18
Zm00001d014458	159	68.11959693	20.38898441	LMAN	Tzi18
Zm00001d014451	5	2.08694602	0.605262767	GShoot	Tzi25
Zm00001d014456	10	4.17389204	1.39969552	GShoot	Tzi25
Zm00001d014458	52	21.70423861	6.496330023	GShoot	Tzi25
Zm00001d014451	7	4.020081537	1.165916919	GRoot	Tzi25
Zm00001d014456	4	2.29718945	0.770351928	GRoot	Tzi25
Zm00001d014458	6	3.445784175	1.031363117	GRoot	Tzi25
Zm00001d014451	0	0	0	LMAD	R168
Zm00001d014456	63	36.44138949	12.22045254	LMAD	R168
Zm00001d014458	86	49.74538882	14.88937109	LMAD	R168
Zm00001d014451	3	1.755739655	0.509205236	LMAN	R168
Zm00001d014456	22	12.87542414	4.317714332	LMAN	R168
Zm00001d014458	124	72.57057241	21.72121293	LMAN	R168
Zm00001d014451	7	2.07743984	0.602505754	GRoot	Pa91
Zm00001d014456	1	0.29677712	0.099522844	GRoot	Pa91
Zm00001d014458	16	4.748433919	1.421261275	GRoot	Pa91
Zm00001d014451	3	2.452439416	0.711264332	L3Tip	Pa91
Zm00001d014456	31	25.34187397	8.498281009	L3Tip	Pa91
Zm00001d014458	37	30.2467528	9.053203472	L3Tip	Pa91
Zm00001d014451	6	1.725200679	0.500348225	L3Base	Pa91
Zm00001d014456	9	2.587801018	0.867807182	L3Base	Pa91
Zm00001d014458	65	18.68967402	5.594035923	L3Base	Pa91
Zm00001d014451	5	2.53650501	0.735645305	L3Tip	CI28AGoodman-Buckler
Zm00001d014456	6	3.043806012	1.020726362	L3Tip	CI28AGoodman-Buckler
Zm00001d014458	151	76.60245131	22.92800099	L3Tip	CI28AGoodman-Buckler
Zm00001d014451	0	0	0	Kern	Pa91
Zm00001d014456	4	1.332475807	0.44683964	Kern	Pa91
Zm00001d014458	10	3.331189518	0.997063609	Kern	Pa91
Zm00001d014451	2	0.682773156	0.198020057	Kern	Pa880
Zm00001d014456	22	7.510504716	2.518613252	Kern	Pa880
Zm00001d014458	10	3.41386578	1.021809572	Kern	Pa880
Zm00001d014451	2	1.307185859	0.379114228	LMAN	Pa91
Zm00001d014456	37	24.18293839	8.109637285	LMAN	Pa91
Zm00001d014458	125	81.69911617	24.45349182	LMAN	Pa91
Zm00001d014451	1	0.651900311	0.189066215	LMAD	Pa91
Zm00001d014456	65	42.37352018	14.20976532	LMAD	Pa91
Zm00001d014458	69	44.98112143	13.46337068	LMAD	Pa91
Zm00001d014451	6	1.742688044	0.505419966	GShoot	Pa91
Zm00001d014456	9	2.614032066	0.876603644	GShoot	Pa91
Zm00001d014458	51	14.81284837	4.4336571	GShoot	Pa91
Zm00001d014451	3	1.272701246	0.36911289	GRoot	A272
Zm00001d014456	2	0.848467498	0.284529677	GRoot	A272
Zm00001d014458	22	9.333142474	2.793517652	GRoot	A272
Zm00001d014451	0	0	0	Kern	A272
Zm00001d014456	1	0.5225112	0.17522173	Kern	A272
Zm00001d014458	4	2.090044801	0.625574619	Kern	A272
Zm00001d014451	3	2.253828576	0.65366258	LMAD	A272
Zm00001d014456	34	25.54339053	8.565858662	LMAD	A272
Zm00001d014458	54	40.56891437	12.142746	LMAD	A272
Zm00001d014451	15	5.902625124	1.711898238	GShoot	A272
Zm00001d014456	12	4.7221001	1.583534574	GShoot	A272
Zm00001d014458	46	18.10138372	5.417953821	GShoot	A272
Zm00001d014451	2	0.703374337	0.203994877	GRoot	B97
Zm00001d014456	8	2.813497347	0.943493409	GRoot	B97
Zm00001d014458	15	5.275307525	1.578960648	GRoot	B97
Zm00001d014451	12	4.603982795	1.335261831	L3Base	B164
Zm00001d014456	5	1.918326164	0.643301866	L3Base	B164
Zm00001d014458	59	22.63624874	6.775291452	L3Base	B164
Zm00001d014451	12	7.372211858	2.138112488	L3Base	B97
Zm00001d014456	2	1.228701976	0.412039563	L3Base	B97
Zm00001d014458	25	15.3587747	4.597059175	L3Base	B97
Zm00001d014451	10	3.898869616	1.13076265	LMAN	B97
Zm00001d014456	26	10.137061	3.399416835	LMAN	B97
Zm00001d014458	198	77.19761839	23.10614139	LMAN	B97
Zm00001d014451	5	2.644982505	0.767106295	GShoot	B97
Zm00001d014456	9	4.760968509	1.596568917	GShoot	B97
Zm00001d014458	24	12.69591602	3.800034727	GShoot	B97
Zm00001d014451	7	4.166328607	1.208331963	L3Tip	B97
Zm00001d014456	6	3.571138806	1.197564992	L3Tip	B97
Zm00001d014458	163	97.01593757	29.03799388	L3Tip	B97
Zm00001d014451	3	1.594441222	0.462424948	GShoot	MR02_Assiniboine
Zm00001d014456	11	5.846284479	1.960524641	GShoot	MR02_Assiniboine
Zm00001d014458	24	12.75552977	3.817877813	GShoot	MR02_Assiniboine
Zm00001d014451	6	1.488389058	0.43166736	GShoot	Ki3
Zm00001d014456	5	1.240324215	0.415937027	GShoot	Ki3
Zm00001d014458	74	18.35679839	5.494402391	GShoot	Ki3
Zm00001d014451	2	1.484163458	0.430441838	LMAD	Ki3
Zm00001d014456	39	28.94118744	9.705294245	LMAD	Ki3
Zm00001d014458	79	58.6244566	17.54697893	LMAD	Ki3
Zm00001d014451	5	1.920003856	0.556845666	LMAN	Ki3
Zm00001d014456	28	10.75202159	3.605641044	LMAN	Ki3
Zm00001d014458	149	57.2161149	17.12544594	LMAN	Ki3
Zm00001d014451	1	0.7411723	0.214957164	L3Tip	CML96
Zm00001d014456	20	14.82344601	4.970974517	L3Tip	CML96
Zm00001d014458	41	30.38806432	9.095499646	L3Tip	CML96
Zm00001d014451	1	0.285111873	0.082689058	Kern	CML96
Zm00001d014456	4	1.140447494	0.382443828	Kern	CML96
Zm00001d014458	13	3.706454354	1.109384721	Kern	CML96
Zm00001d014451	7	2.568298808	0.744866244	L3Tip	B164
Zm00001d014456	20	7.337996595	2.460763446	L3Tip	B164
Zm00001d014458	257	94.29325625	28.22306383	L3Tip	B164
Zm00001d014451	7	2.781781208	0.806781093	GRoot	CML96
Zm00001d014456	4	1.589589262	0.533061456	GRoot	CML96
Zm00001d014458	15	5.960959732	1.784184296	GRoot	CML96
Zm00001d014451	11	5.791723701	1.679734252	L3Base	CML96
Zm00001d014456	7	3.685642355	1.235963231	L3Base	CML96
Zm00001d014458	33	17.3751711	5.200589974	L3Base	CML96
Zm00001d014451	4	3.18485078	0.923680621	LMAN	CML96
Zm00001d014456	14	11.14697773	3.73808777	LMAN	CML96
Zm00001d014458	32	25.47880624	7.626101837	LMAN	CML96
Zm00001d014451	11	3.820762841	1.108109873	GShoot	CML96
Zm00001d014456	2	0.694684153	0.232959139	GShoot	CML96
Zm00001d014458	47	16.32507759	4.886284822	GShoot	CML96
Zm00001d014451	0	0	0	L3Tip	CML84
Zm00001d014456	15	17.05359161	5.718843597	L3Tip	CML84
Zm00001d014458	14	15.9166855	4.764048339	L3Tip	CML84
Zm00001d014451	9	3.036481603	0.880650117	GRoot	CML84
Zm00001d014456	1	0.337386845	0.113141128	GRoot	CML84
Zm00001d014458	26	8.772057963	2.625578558	GRoot	CML84
Zm00001d014451	1	0.7819388	0.226780395	LMAN	CML511
Zm00001d014456	9	7.037449204	2.359976259	LMAN	CML511
Zm00001d014458	48	37.53306242	11.23408034	LMAN	CML511
Zm00001d014451	3	2.270667857	0.658546362	L3Tip	CML511
Zm00001d014456	17	12.86711786	4.314928859	L3Tip	CML511
Zm00001d014458	192	145.3227428	43.49678026	L3Tip	CML511
Zm00001d014451	6	3.298948753	0.95677168	LMAD	CML84
Zm00001d014456	29	15.94491897	5.347055323	LMAD	CML84
Zm00001d014458	135	74.22634695	22.21680543	LMAD	CML84
Zm00001d014451	10	4.72630835	1.370739081	L3Base	CML511
Zm00001d014456	4	1.89052334	0.633978317	L3Base	CML511
Zm00001d014458	43	20.32312591	6.082946994	L3Base	CML511
Zm00001d014451	5	2.576873601	0.747353133	LMAD	A619
Zm00001d014456	50	25.76873601	8.641427233	LMAD	A619
Zm00001d014458	101	52.05284674	15.58001998	LMAD	A619
Zm00001d014451	3	1.276586871	0.370239812	GShoot	CML84
Zm00001d014456	4	1.702115828	0.570796723	GShoot	CML84
Zm00001d014458	35	14.89351349	4.457801106	GShoot	CML84
Zm00001d014451	5	3.089792396	0.896111484	LMAN	CML84
Zm00001d014456	26	16.06692046	5.38796796	LMAN	CML84
Zm00001d014458	80	49.43667833	14.79697047	LMAN	CML84
Zm00001d014451	8	2.8362235	0.822570621	GShoot	Va14
Zm00001d014456	12	4.254335249	1.42667178	GShoot	Va14
Zm00001d014458	44	15.59922925	4.669030005	GShoot	Va14
Zm00001d014451	5	2.881872775	0.835809969	LMAD	Va14
Zm00001d014456	99	57.06108094	19.13517134	LMAD	Va14
Zm00001d014458	67	38.61709518	11.5585439	LMAD	Va14
Zm00001d014451	2	1.137908878	0.330019976	LMAN	Va14
Zm00001d014456	46	26.17190418	8.776627828	LMAN	Va14
Zm00001d014458	144	81.92943918	24.52243017	LMAN	Va14
Zm00001d014451	0	0	0	Kern	Va102
Zm00001d014456	7	2.375237337	0.796524929	Kern	Va102
Zm00001d014458	17	5.768433532	1.726558974	Kern	Va102
Zm00001d014451	3	2.699766623	0.78299496	L3Tip	Va102
Zm00001d014456	30	26.99766623	9.053543336	L3Tip	Va102
Zm00001d014458	45	40.49649934	12.12107134	L3Tip	Va102
Zm00001d014451	4	1.417252152	0.411036007	L3Base	Va102
Zm00001d014456	16	5.66900861	1.901075993	L3Base	Va102
Zm00001d014458	44	15.58977368	4.666199843	L3Base	Va102
Zm00001d014451	5	2.220571341	0.64401721	L3Base	Va14
Zm00001d014456	10	4.441142682	1.489316795	L3Base	Va14
Zm00001d014458	48	21.31748487	6.380570151	L3Base	Va14
Zm00001d014451	6	3.123323914	0.905836402	L3Base	Tzi11
Zm00001d014456	5	2.602769928	0.872826938	L3Base	Tzi11
Zm00001d014458	39	20.30160544	6.076505669	L3Base	Tzi11
Zm00001d014451	9	4.695349208	1.361760211	L3Base	B105
Zm00001d014456	7	3.651938273	1.224660722	L3Base	B105
Zm00001d014458	40	20.8682187	6.246099582	L3Base	B105
Zm00001d014451	0	0	0	Kern	A6
Zm00001d014456	1	0.404147457	0.135528993	Kern	A6
Zm00001d014458	7	2.829032199	0.846762107	Kern	A6
Zm00001d014451	2	1.887510226	0.547421759	L3Tip	Tzi11
Zm00001d014456	40	37.75020451	12.65935765	L3Tip	Tzi11
Zm00001d014458	38	35.86269429	10.73411981	L3Tip	Tzi11
Zm00001d014451	0	0	0	Kern	R4
Zm00001d014456	19	16.34716931	5.481948126	Kern	R4
Zm00001d014458	2	1.720754664	0.515041803	Kern	R4
Zm00001d014451	1	0.857268935	0.248627881	L3Tip	R4
Zm00001d014456	50	42.86344677	14.37405995	L3Tip	R4
Zm00001d014458	47	40.29163996	12.05975455	L3Tip	R4
Zm00001d014451	1	0.751508467	0.217954892	LMAD	SA24
Zm00001d014456	43	32.3148641	10.83664121	LMAD	SA24
Zm00001d014458	44	33.06637257	9.897148329	LMAD	SA24
Zm00001d014451	3	1.431844143	0.415268023	LMAN	SA24
Zm00001d014456	61	29.11416424	9.763301222	LMAN	SA24
Zm00001d014458	177	84.47880444	25.28548472	LMAN	SA24
Zm00001d014451	3	2.180677032	0.632446935	L3Tip	CML330
Zm00001d014456	8	5.815138751	1.950080064	L3Tip	CML330
Zm00001d014458	121	87.95397361	26.3256431	L3Tip	CML330
Zm00001d014451	10	3.473053135	1.007265991	GShoot	R4
Zm00001d014456	14	4.86227439	1.630541378	GShoot	R4
Zm00001d014458	41	14.23951786	4.262052635	GShoot	R4
Zm00001d014451	1	0.386345231	0.112049081	LMAD	R4
Zm00001d014456	217	83.83691515	28.11432433	LMAD	R4
Zm00001d014458	275	106.2449386	31.80034078	LMAD	R4
Zm00001d014451	10	4.40105885	1.276409179	L3Base	R4
Zm00001d014456	11	4.841164734	1.623462352	L3Base	R4
Zm00001d014458	49	21.56518836	6.454710674	L3Base	R4
Zm00001d014451	9	3.207677969	0.930301035	GRoot	R4
Zm00001d014456	5	1.782043316	0.597600039	GRoot	R4
Zm00001d014458	28	9.979442571	2.986962757	GRoot	R4
Zm00001d014451	5	2.636152305	0.764545332	GRoot	A6
Zm00001d014456	4	2.108921844	0.707217251	GRoot	A6
Zm00001d014458	14	7.381226453	2.209286577	GRoot	A6
Zm00001d014451	2	1.977145784	0.573418151	LMAN	Va59
Zm00001d014456	15	14.82859338	4.972700665	LMAN	Va59
Zm00001d014458	57	56.34865485	16.8658051	LMAN	Va59
Zm00001d014451	8	4.387925407	1.272600176	GShoot	SA24
Zm00001d014456	2	1.096981352	0.367867656	GShoot	SA24
Zm00001d014458	30	16.45472027	4.925088379	GShoot	SA24
Zm00001d014451	6	2.004364122	0.5813121	L3Base	Wf9
Zm00001d014456	6	2.004364122	0.6721543	L3Base	Wf9
Zm00001d014458	67	22.38206603	6.699211622	L3Base	Wf9
Zm00001d014451	2	1.06971376	0.31024181	GRoot	Wf9
Zm00001d014456	0	0	0	GRoot	Wf9
Zm00001d014458	8	4.278855041	1.280710877	GRoot	Wf9
Zm00001d014451	2	1.125739126	0.326490466	LMAN	Wf9
Zm00001d014456	31	17.44895645	5.851427382	LMAN	Wf9
Zm00001d014458	114	64.16713018	19.20596533	LMAN	Wf9
Zm00001d014451	5	2.404633599	0.697399536	GShoot	Yu796
Zm00001d014456	1	0.48092672	0.161276566	GShoot	Yu796
Zm00001d014458	35	16.83243519	5.038142829	GShoot	Yu796
Zm00001d014451	1	0.869207182	0.25209025	LMAN	Yu796
Zm00001d014456	34	29.5530442	9.9104776	LMAN	Yu796
Zm00001d014458	86	74.75181769	22.37408491	LMAN	Yu796
Zm00001d014451	2	0.828552455	0.240299436	Kern	Wf9
Zm00001d014456	5	2.071381138	0.694628148	Kern	Wf9
Zm00001d014458	8	3.314209822	0.991981389	Kern	Wf9
Zm00001d014451	1	0.630402079	0.182831229	L3Tip	Wf9
Zm00001d014456	34	21.43367069	7.187682995	L3Tip	Wf9
Zm00001d014458	43	27.1072894	8.113525711	L3Tip	Wf9
Zm00001d014451	7	3.619032989	1.049603535	GShoot	T234
Zm00001d014456	7	3.619032989	1.213626086	GShoot	T234
Zm00001d014458	28	14.47613196	4.332873977	GShoot	T234
Zm00001d014451	8	3.120577592	0.905039905	GShoot	A6
Zm00001d014456	4	1.560288796	0.523235679	GShoot	A6
Zm00001d014458	54	21.06389875	6.304668885	GShoot	A6
Zm00001d014451	3	1.151326067	0.333911272	GRoot	T234
Zm00001d014456	6	2.302652135	0.772183814	GRoot	T234
Zm00001d014458	19	7.29173176	2.182499778	GRoot	T234
Zm00001d014451	4	3.600432403	1.044208933	L3Base	Yu796
Zm00001d014456	1	0.900108101	0.301847116	L3Base	Yu796
Zm00001d014458	18	16.20194581	4.849430054	L3Base	Yu796
Zm00001d014451	4	1.855476905	0.538131353	GRoot	Yu796
Zm00001d014456	4	1.855476905	0.622225655	GRoot	Yu796
Zm00001d014458	11	5.102561488	1.527255758	GRoot	Yu796
Zm00001d014451	2	0.670560691	0.194478159	Kern	T234
Zm00001d014456	6	2.011682072	0.674608341	Kern	T234
Zm00001d014458	10	3.352803453	1.00353291	Kern	T234
Zm00001d014451	6	3.11073399	0.902185032	LMAN	T8
Zm00001d014456	92	47.69792118	15.99527873	LMAN	T8
Zm00001d014458	86	44.58718719	13.3454616	LMAN	T8
Zm00001d014451	3	3.359978747	0.974471794	L3Tip	T234
Zm00001d014456	6	6.719957494	2.253506873	L3Tip	T234
Zm00001d014458	75	83.99946867	25.14201397	L3Tip	T234
Zm00001d014451	17	5.883725762	1.706416984	L3Base	T234
Zm00001d014456	4	1.384406062	0.464254213	L3Base	T234
Zm00001d014458	48	16.61287274	4.972425244	L3Base	T234
Zm00001d014451	7	2.678030263	0.776690911	GRoot	SA24
Zm00001d014456	2	0.765151504	0.256590041	GRoot	SA24
Zm00001d014458	16	6.121212029	1.832149664	GRoot	SA24
Zm00001d014451	5	3.117824493	0.904241442	L3Tip	Ki3
Zm00001d014456	27	16.83625226	5.645959847	L3Tip	Ki3
Zm00001d014458	38	23.69546615	7.092327491	L3Tip	Ki3
