TF_ID	Gene_ID_V3	Family	Gene_ID_V4
GRMZM2G059939_P02	GRMZM2G059939	RAV	Zm00001d038907
GRMZM2G159592_P01	GRMZM2G159592	RAV	Zm00001d009468
GRMZM2G169654_P01	GRMZM2G169654	RAV	Zm00001d043782
AC149818.2_FGP009	AC149818.2_FG009	LBD	Zm00001d048401
AC149829.2_FGP004	AC149829.2_FG004	bHLH	Zm00001d048309
AC155434.2_FGP006	AC155434.2_FG006	Dof	NA
AC165171.2_FGP002	AC165171.2_FG002	WRKY	Zm00001d041958
AC177924.2_FGP001	AC177924.2_FG001	bHLH	Zm00001d003964
AC184831.3_FGP005	AC184831.3_FG005	GATA	NA
AC184831.3_FGP008	AC184831.3_FG008	GATA	NA
AC186606.4_FGP003	AC186606.4_FG003	bZIP	Zm00001d031272
AC190609.3_FGP001	AC190609.3_FG001	bZIP	Zm00001d052717
AC190734.2_FGP003	AC190734.2_FG003	TCP	Zm00001d013467
AC193630.3_FGP003	AC193630.3_FG003	WRKY	Zm00001d045375
AC193786.3_FGP005	AC193786.3_FG005	bHLH	Zm00001d011847
AC194362.3_FGP003	AC194362.3_FG003	WRKY	Zm00001d044680
AC194965.4_FGP004	AC194965.4_FG004	GATA	Zm00001d037605
AC194970.5_FGP002	AC194970.5_FG002	BES1	Zm00001d006677
AC196475.3_FGP005	AC196475.3_FG005	NAC	Zm00001d049540
AC198366.3_FGP004	AC198366.3_FG004	GRAS	Zm00001d023248
AC198518.3_FGP005	AC198518.3_FG005	bHLH	Zm00001d041351
AC198725.4_FGP009	AC198725.4_FG009	WRKY	Zm00001d044162
AC198937.4_FGP005	AC198937.4_FG005	NAC	Zm00001d050410
AC199782.5_FGP003	AC199782.5_FG003	TCP	Zm00001d006165
AC200057.4_FGP007	AC200057.4_FG007	bZIP	Zm00001d021189
AC200124.3_FGP005	AC200124.3_FG005	GRAS	NA
AC202864.3_FGP002	AC202864.3_FG002	GATA	Zm00001d038801
AC203535.4_FGP002	AC203535.4_FG002	NAC	Zm00001d042288
AC203865.3_FGP001	AC203865.3_FG001	CPP	Zm00001d041444
AC203957.3_FGP004	AC203957.3_FG004	bZIP	Zm00001d005578
AC204621.4_FGP006	AC204621.4_FG006	GRAS	Zm00001d048624
AC205471.4_FGP003	AC205471.4_FG003	HSF	Zm00001d010812
AC205484.3_FGP005	AC205484.3_FG005	NAC	Zm00001d050870
AC205562.3_FGP002	AC205562.3_FG002	WRKY	Zm00001d050247
AC205574.3_FGP006	AC205574.3_FG006	TCP	NA
AC206165.3_FGP007	AC206165.3_FG007	HSF	Zm00001d038746
AC207342.3_FGP001	AC207342.3_FG001	Nin-like	Zm00001d011142
AC207888.3_FGP009	AC207888.3_FG009	LBD	Zm00001d007919
AC208110.2_FGP001	AC208110.2_FG001	WRKY	Zm00001d026218
AC208663.3_FGP002	AC208663.3_FG002	NAC	Zm00001d003080
AC209050.3_FGP003	AC209050.3_FG003	WRKY	Zm00001d036726
AC209784.3_FGP011	AC209784.3_FG011	Trihelix	Zm00001d042917
AC209819.3_FGP009	AC209819.3_FG009	Dof	Zm00001d010740
AC210616.4_FGP005	AC210616.4_FG005	EIL	Zm00001d050861
AC211478.3_FGP004	AC211478.3_FG004	NAC	Zm00001d041886
AC212859.3_FGP008	AC212859.3_FG008	NAC	Zm00001d002934
AC213524.3_FGP003	AC213524.3_FG003	TCP	Zm00001d031597
AC214168.3_FGP001	AC214168.3_FG001	E2F/DP	Zm00001d003755
AC214648.3_FGP005	AC214648.3_FG005	LBD	Zm00001d010978
AC216247.3_FGP001	AC216247.3_FG001	HSF	Zm00001d029270
AC216731.3_FGP001	AC216731.3_FG001	bHLH	Zm00001d017804
AC217910.3_FGP006	AC217910.3_FG006	LBD	Zm00001d032286
AC218973.3_FGP003	AC218973.3_FG003	LBD	Zm00001d041205
AC232238.2_FGP004	AC232238.2_FG004	bZIP	Zm00001d012294
AC233751.1_FGP002	AC233751.1_FG002	SBP	Zm00001d049824
AC233850.1_FGP005	AC233850.1_FG005	E2F/DP	Zm00001d016737
AC233853.1_FGP002	AC233853.1_FG002	bZIP	Zm00001d039383
AC233865.1_FGP003	AC233865.1_FG003	NAC	Zm00001d021424
AC233880.1_FGP006	AC233880.1_FG006	Nin-like	Zm00001d039250
AC233899.1_FGP002	AC233899.1_FG002	bHLH	Zm00001d048229
AC233935.1_FGP005	AC233935.1_FG005	Dof	Zm00001d028625
AC233943.1_FGP002	AC233943.1_FG002	LBD	Zm00001d039694
AC233950.1_FGP002	AC233950.1_FG002	TCP	Zm00001d033673
AC233960.1_FGP005	AC233960.1_FG005	bHLH	Zm00001d017724
AC234149.1_FGP002	AC234149.1_FG002	LBD	Zm00001d010749
AC234164.1_FGP004	AC234164.1_FG004	GRAS	Zm00001d045507
AC234203.1_FGP011	AC234203.1_FG011	EIL	Zm00001d031445
AC234521.1_FGP006	AC234521.1_FG006	TCP	Zm00001d002818
EF517601.1_FGP010	EF517601.1_FG010	GeBP	Zm00001d040254
GRMZM2G000171_P01	GRMZM2G000171	bZIP	Zm00001d014795
GRMZM2G000171_P02	GRMZM2G000171	bZIP	Zm00001d014795
GRMZM2G000171_P03	GRMZM2G000171	bZIP	Zm00001d014795
GRMZM2G000171_P04	GRMZM2G000171	bZIP	Zm00001d014795
GRMZM2G000171_P05	GRMZM2G000171	bZIP	Zm00001d014795
GRMZM2G000686_P01	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P02	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P03	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P04	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P05	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P06	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P08	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000686_P10	GRMZM2G000686	NF-YA	Zm00001d027874
GRMZM2G000842_P01	GRMZM2G000842	bZIP	Zm00001d038296
GRMZM2G000842_P02	GRMZM2G000842	bZIP	Zm00001d038296
GRMZM2G000842_P03	GRMZM2G000842	bZIP	Zm00001d038296
GRMZM2G001426_P01	GRMZM2G001426	GRAS	Zm00001d044065
GRMZM2G001663_P01	GRMZM2G001663	FAR1	Zm00001d028472
GRMZM2G001699_P01	GRMZM2G001699	E2F/DP	Zm00001d032741
GRMZM2G001699_P02	GRMZM2G001699	E2F/DP	Zm00001d032741
GRMZM2G001930_P01	GRMZM2G001930	bHLH	Zm00001d030028
GRMZM2G002075_P01	GRMZM2G002075	bZIP	Zm00001d005884
GRMZM2G002131_P01	GRMZM2G002131	HSF	Zm00001d005888
GRMZM2G002627_P01	GRMZM2G002627	bHLH	Zm00001d017559
GRMZM2G002978_P02	GRMZM2G002978	Trihelix	Zm00001d003836
GRMZM2G003489_P03	GRMZM2G003489	HSF	Zm00001d033987
GRMZM2G003551_P01	GRMZM2G003551	WRKY	Zm00001d045283
GRMZM2G003558_P01	GRMZM2G003558	EIL	Zm00001d007188
GRMZM2G003715_P01	GRMZM2G003715	NAC	Zm00001d024543
GRMZM2G003944_P01	GRMZM2G003944	TCP	Zm00001d053020
GRMZM2G004060_P01	GRMZM2G004060	WRKY	Zm00001d023615
GRMZM2G004356_P01	GRMZM2G004356	bHLH	NA
GRMZM2G004531_P01	GRMZM2G004531	NAC	NA
GRMZM2G004663_P01	GRMZM2G004663	Nin-like	Zm00001d041160
GRMZM2G004732_P01	GRMZM2G004732	bHLH	Zm00001d024220
GRMZM2G005207_P01	GRMZM2G005207	WRKY	Zm00001d023332
GRMZM2G005353_P01	GRMZM2G005353	YABBY	Zm00001d025944
GRMZM2G005815_P01	GRMZM2G005815	HSF	Zm00001d044259
GRMZM2G005815_P02	GRMZM2G005815	HSF	Zm00001d044259
GRMZM2G006497_P01	GRMZM2G006497	WRKY	Zm00001d008578
GRMZM2G006578_P01	GRMZM2G006578	bZIP	Zm00001d020938
GRMZM2G006578_P02	GRMZM2G006578	bZIP	Zm00001d020938
GRMZM2G006578_P03	GRMZM2G006578	bZIP	Zm00001d020938
GRMZM2G006631_P01	GRMZM2G006631	bHLH	Zm00001d027987
GRMZM2G006752_P02	GRMZM2G006752	EIL	Zm00001d020939
GRMZM2G006871_P01	GRMZM2G006871	GeBP	Zm00001d024905
GRMZM2G007063_P01	GRMZM2G007063	bZIP	Zm00001d013074
GRMZM2G007063_P04	GRMZM2G007063	bZIP	Zm00001d013074
GRMZM2G008029_P01	GRMZM2G008029	WRKY	Zm00001d034084
GRMZM2G008166_P01	GRMZM2G008166	bZIP	Zm00001d037170
GRMZM2G008374_P01	GRMZM2G008374	NAC	Zm00001d006053
GRMZM2G008374_P02	GRMZM2G008374	NAC	Zm00001d006053
GRMZM2G008558_P01	GRMZM2G008558	GeBP	Zm00001d037158
GRMZM2G008558_P02	GRMZM2G008558	GeBP	Zm00001d037158
GRMZM2G008691_P03	GRMZM2G008691	bHLH	Zm00001d052192
GRMZM2G008898_P01	GRMZM2G008898	bHLH	Zm00001d007768
GRMZM2G009406_P01	GRMZM2G009406	Dof	Zm00001d005970
GRMZM2G009478_P01	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009478_P02	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009478_P03	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009478_P04	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009478_P05	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009478_P06	GRMZM2G009478	bHLH	Zm00001d005969
GRMZM2G009530_P01	GRMZM2G009530	GATA	Zm00001d031135
GRMZM2G009837_P01	GRMZM2G009837	bHLH	Zm00001d013232
GRMZM2G009892_P01	GRMZM2G009892	NAC	Zm00001d003414
GRMZM2G009892_P02	GRMZM2G009892	NAC	Zm00001d003414
GRMZM2G009892_P03	GRMZM2G009892	NAC	Zm00001d003414
GRMZM2G009892_P04	GRMZM2G009892	NAC	Zm00001d003414
GRMZM2G010290_P01	GRMZM2G010290	Dof	Zm00001d026096
GRMZM2G010290_P02	GRMZM2G010290	Dof	Zm00001d026096
GRMZM2G010871_P01	GRMZM2G010871	HSF	Zm00001d032923
GRMZM2G010871_P02	GRMZM2G010871	HSF	Zm00001d032923
GRMZM2G010871_P03	GRMZM2G010871	HSF	Zm00001d032923
GRMZM2G010871_P05	GRMZM2G010871	HSF	Zm00001d032923
GRMZM2G011385_P01	GRMZM2G011385	LBD	Zm00001d034384
GRMZM2G011598_P01	GRMZM2G011598	NAC	Zm00001d028999
GRMZM2G011789_P01	GRMZM2G011789	NF-YB	Zm00001d017898
