1	2940001	3000000	.	-1	-1	.	.	0
1	9140001	9375000	1	9140001	9310000	0.082918	FST	169999
1	10715001	10860000	1	10720001	10860000	0.0800926	FST	139999
1	13935001	14375000	1	13935001	14245000	0.115277	FST	309999
1	18065001	18135000	.	-1	-1	.	.	0
1	24305001	24460000	1	24305001	24460000	0.109072	FST	154999
1	28615001	29425000	1	28620001	29425000	0.118139	FST	804999
1	33590001	33850000	.	-1	-1	.	.	0
1	38155001	38590000	1	38155001	38590000	0.11335	FST	434999
1	38890001	39045000	.	-1	-1	.	.	0
1	39105001	39175000	.	-1	-1	.	.	0
1	41230001	41625000	.	-1	-1	.	.	0
1	45275001	45485000	1	45300001	45485000	0.0844828	FST	184999
1	46385001	46665000	1	46385001	46665000	0.0815762	FST	279999
1	57485001	57535000	.	-1	-1	.	.	0
1	72550001	72650000	1	72550001	72650000	0.081377	FST	99999
1	80190001	80615000	1	80190001	80615000	0.098513	FST	424999
1	98535001	98975000	1	98535001	98935000	0.0894561	FST	399999
1	100180001	100390000	1	100180001	100390000	0.0866743	FST	209999
1	104165001	104225000	.	-1	-1	.	.	0
1	115335001	115400000	.	-1	-1	.	.	0
1	115630001	117435000	1	115750001	117435000	0.127954	FST	1684999
1	120485001	120580000	.	-1	-1	.	.	0
1	121295001	121415000	.	-1	-1	.	.	0
1	150305001	150490000	.	-1	-1	.	.	0
1	151625001	152120000	1	151625001	152120000	0.104226	FST	494999
1	152820001	152890000	.	-1	-1	.	.	0
1	153195001	153790000	1	153195001	153790000	0.109349	FST	594999
1	155930001	156065000	1	155930001	156065000	0.0876093	FST	134999
1	156165001	156965000	1	156165001	156965000	0.0980661	FST	799999
1	157070001	157620000	1	157070001	157615000	0.20395	FST	544999
1	158115001	159010000	1	158115001	159010000	0.101294	FST	894999
1	159540001	159930000	1	159675001	159930000	0.191449	FST	254999
1	161735001	162060000	1	161735001	162060000	0.109329	FST	324999
1	162405001	162495000	.	-1	-1	.	.	0
1	163175001	163275000	.	-1	-1	.	.	0
1	164630001	164990000	1	164630001	164990000	0.110958	FST	359999
1	165150001	165260000	1	165150001	165260000	0.0910838	FST	109999
1	168515001	168965000	1	168515001	168965000	0.139016	FST	449999
1	171885001	172155000	1	171885001	172155000	0.0821713	FST	269999
1	172950001	173165000	.	-1	-1	.	.	0
1	173810001	174120000	1	173845001	173990000	0.113277	FST	144999
1	180655001	180865000	1	180655001	180865000	0.099164	FST	209999
1	181755001	181850000	.	-1	-1	.	.	0
1	182510001	182800000	1	182510001	182800000	0.114546	FST	289999
1	183125001	183530000	1	183125001	183505000	0.0941014	FST	379999
1	184260001	184855000	1	184260001	184855000	0.130186	FST	594999
1	189380001	189545000	1	189380001	189545000	0.0833611	FST	164999
1	189835001	190120000	1	189835001	190120000	0.110958	FST	284999
1	190375001	190450000	.	-1	-1	.	.	0
1	191240001	191415000	1	191240001	191415000	0.115143	FST	174999
1	192750001	192840000	.	-1	-1	.	.	0
1	198140001	198505000	1	198140001	198505000	0.102493	FST	364999
1	202355001	202460000	1	202355001	202460000	0.0819998	FST	104999
1	205195001	205380000	1	205195001	205380000	0.188545	FST	184999
1	205545001	205770000	1	205545001	205770000	0.0958145	FST	224999
1	206995001	207050000	.	-1	-1	.	.	0
1	207100001	207310000	1	207100001	207310000	0.0797076	FST	209999
1	209345001	209915000	1	209345001	209915000	0.154509	FST	569999
1	211240001	211320000	.	-1	-1	.	.	0
1	213750001	214035000	1	213750001	214035000	0.0985483	FST	284999
1	215175001	215915000	1	215175001	215755000	0.169087	FST	579999
1	218010001	218305000	1	218010001	218255000	0.129318	FST	244999
1	220485001	220770000	1	220485001	220580000	0.087458	FST	94999
1	224930001	225175000	1	224930001	225175000	0.119656	FST	244999
1	227405001	227510000	1	227405001	227510000	0.0816784	FST	104999
1	230495001	230660000	1	230495001	230660000	0.0804207	FST	164999
1	230830001	231055000	1	230830001	231055000	0.0952682	FST	224999
1	233080001	233480000	1	233080001	233480000	0.125105	FST	399999
1	234040001	234425000	1	234040001	234425000	0.164532	FST	384999
1	235310001	235950000	1	235320001	235950000	0.0821661	FST	629999
1	236245001	236610000	.	-1	-1	.	.	0
1	236815001	237035000	1	236815001	237035000	0.0982342	FST	219999
1	238920001	239185000	1	238920001	239185000	0.126263	FST	264999
1	239370001	239465000	1	239370001	239465000	0.0843326	FST	94999
1	241015001	241230000	.	-1	-1	.	.	0
1	242515001	243045000	1	242515001	242930000	0.133325	FST	414999
1	243195001	243295000	.	-1	-1	.	.	0
1	250145001	250220000	.	-1	-1	.	.	0
1	250350001	250680000	1	250350001	250680000	0.134775	FST	329999
1	251480001	251705000	1	251480001	251705000	0.0864981	FST	224999
1	252135001	252275000	1	252135001	252275000	0.0813753	FST	139999
1	261215001	261490000	1	261215001	261490000	0.0976022	FST	274999
1	267660001	267855000	1	267660001	267855000	0.099339	FST	194999
1	274360001	274780000	1	274360001	274780000	0.0900284	FST	419999
1	284405001	284510000	1	284405001	284510000	0.102536	FST	104999
1	284750001	285010000	1	284750001	285010000	0.143705	FST	259999
1	285380001	285525000	1	285380001	285505000	0.106031	FST	124999
1	287555001	287845000	.	-1	-1	.	.	0
1	295670001	295805000	1	295670001	295805000	0.128033	FST	134999
1	299005001	299350000	1	299005001	299345000	0.181133	FST	339999
1	304190001	304530000	1	304280001	304530000	0.18602	FST	249999
2	7690001	7740000	.	-1	-1	.	.	0
2	9845001	9940000	.	-1	-1	.	.	0
2	18105001	18170000	2	18105001	18170000	0.0869087	FST	64999
2	21265001	21410000	2	21265001	21410000	0.145566	FST	144999
2	21665001	21815000	2	21665001	21815000	0.100884	FST	149999
2	21955001	22185000	2	21955001	22185000	0.101382	FST	229999
2	27125001	27350000	2	27125001	27350000	0.105453	FST	224999
2	28200001	28885000	2	28200001	28885000	0.102019	FST	684999
2	29235001	29385000	2	29235001	29385000	0.130924	FST	149999
2	31125001	31300000	2	31125001	31300000	0.0871343	FST	174999
2	33400001	33675000	2	33400001	33675000	0.147905	FST	274999
2	34510001	34885000	2	34510001	34885000	0.0836942	FST	374999
2	34940001	35225000	2	34940001	35225000	0.128072	FST	284999
2	37965001	38345000	2	37965001	38335000	0.13122	FST	369999
2	39035001	39520000	2	39070001	39520000	0.130252	FST	449999
2	46670001	46865000	2	46670001	46825000	0.0961343	FST	154999
2	47210001	47305000	2	47210001	47305000	0.088335	FST	94999
2	51125001	51480000	2	51125001	51410000	0.0818499	FST	284999
2	51480001	51800000	2	51480001	51800000	0.104016	FST	319999
2	52790001	53145000	.	-1	-1	.	.	0
2	63435001	63645000	2	63435001	63625000	0.0962449	FST	189999
2	66635001	66855000	2	66635001	66855000	0.195812	FST	219999
2	74630001	74725000	2	74630001	74725000	0.0900214	FST	94999
2	75385001	75620000	.	-1	-1	.	.	0
2	84660001	84720000	2	84660001	84720000	0.121401	FST	59999
2	92005001	92065000	.	-1	-1	.	.	0
2	103605001	103660000	.	-1	-1	.	.	0
2	103745001	104030000	2	103745001	104030000	0.106959	FST	284999
2	105050001	105690000	2	105150001	105690000	0.10565	FST	539999
2	106930001	107165000	.	-1	-1	.	.	0
2	109310001	110405000	2	109310001	110360000	0.11303	FST	1049999
2	113415001	113620000	.	-1	-1	.	.	0
2	114090001	114580000	2	114090001	114580000	0.123777	FST	489999
2	115365001	116500000	2	115365001	116500000	0.0906315	FST	1134999
2	117200001	117610000	2	117200001	117610000	0.0872036	FST	409999
2	131635001	131810000	2	131635001	131810000	0.0826678	FST	174999
2	135495001	135605000	2	135495001	135605000	0.100352	FST	109999
2	147860001	147945000	.	-1	-1	.	.	0
2	150065001	150115000	2	150065001	150115000	0.145211	FST	49999
2	165855001	165910000	.	-1	-1	.	.	0
2	166225001	166440000	2	166225001	166440000	0.114476	FST	214999
2	167175001	167705000	2	167175001	167705000	0.108633	FST	529999
2	180295001	180345000	2	180295001	180345000	0.180195	FST	49999
2	182580001	182700000	2	182580001	182700000	0.0794572	FST	119999
2	188375001	188545000	2	188375001	188545000	0.0823215	FST	169999
2	193595001	193645000	2	193595001	193645000	0.0848392	FST	49999
2	193715001	193830000	.	-1	-1	.	.	0
2	194925001	195250000	2	194925001	195250000	0.0938899	FST	324999
2	195270001	195410000	.	-1	-1	.	.	0
