chrom	start	stop	xpclr
1	2940001	3e+06	9.99850451850449
1	9150001	9375000	17.7380539577888
1	10715001	10830000	9.96470680658388
1	14015001	14375000	23.3695707445047
1	18065001	18135000	11.8348336165767
1	28615001	28890000	14.5301121277507
1	33590001	33850000	10.9002070150329
1	38890001	39045000	19.0339314970165
1	39105001	39175000	18.7901789980989
1	41230001	41625000	9.77234305013872
1	45275001	45470000	30.4621328992894
1	57485001	57535000	13.8300945279507
1	80225001	80425000	10.971478784274
1	98565001	98975000	16.1899206851602
1	104165001	104225000	13.4423831443556
1	115335001	115400000	9.49224014043972
1	115630001	116120000	9.96562284665748
1	116310001	117395000	35.4696762695285
1	120485001	120580000	10.0714973403556
1	121295001	121415000	9.51462059523431
1	150305001	150490000	9.71698977044713
1	152820001	152890000	26.3766413742931
1	157115001	157620000	35.3011555929079
1	159540001	159880000	14.5168894359823
1	162405001	162495000	9.86312773263472
1	163175001	163275000	15.0332574362164
1	168640001	168800000	16.2444760383057
1	172950001	173165000	11.1615585486756
1	173810001	174120000	11.1637521848068
1	181755001	181850000	9.41467393491541
1	183420001	183530000	11.7658996755329
1	190375001	190450000	13.568430958281
1	192750001	192840000	17.8706396319059
1	198285001	198375000	48.6189245333021
1	206995001	207050000	9.32498762944556
1	211240001	211320000	9.87849304267553
1	215300001	215915000	28.4193400716993
1	218015001	218305000	15.9841491097629
1	220565001	220770000	11.864046039171
1	233335001	233470000	21.3653767476699
1	234170001	234405000	31.3940974044019
1	235310001	235910000	13.3023549242372
1	236245001	236610000	12.2163147697028
1	241015001	241230000	12.9989946468128
1	242665001	243045000	21.9153609009883
1	243195001	243295000	11.4842332800251
1	250145001	250220000	11.4302117614484
1	250395001	250640000	10.3835962806564
1	284945001	285005000	9.54065256936013
1	285385001	285525000	13.8453637571445
1	287555001	287845000	15.7124784242494
1	299180001	299350000	18.3434456645474
1	304190001	304495000	10.0569621634806
2	7690001	7740000	13.4077964648635
2	9845001	9940000	10.9918236592449
2	34995001	35085000	11.5883206424857
2	38065001	38345000	14.5823952778757
2	39035001	39475000	11.1848866740797
2	46680001	46865000	12.0727356177956
2	51185001	51480000	14.1394219235248
2	52790001	53145000	12.1532946660267
2	63460001	63645000	10.8543914610543
2	75385001	75620000	11.8387972113387
2	92005001	92065000	9.54384522801982
2	103605001	103660000	11.3059504286732
2	103835001	103935000	21.3600121873505
2	105050001	105440000	12.2321385919853
2	106930001	107165000	11.0365010529055
2	109395001	110405000	31.6754020849924
2	113415001	113620000	10.9404921307362
2	114335001	114565000	17.713617042666
2	115595001	115690000	11.5178995791632
2	115900001	116075000	9.8966633723482
2	147860001	147945000	26.1353021212309
2	165855001	165910000	10.3506095824789
2	193715001	193830000	18.8105767124333
2	195270001	195410000	13.9581510129516
2	206280001	206345000	9.66312508921453
2	206475001	206590000	10.3903288660482
2	206830001	207245000	13.0448089158664
2	209085001	209375000	15.4528635229479
2	209470001	209845000	20.5830323112239
2	210165001	210740000	19.8037183756814
2	224470001	224760000	10.4012973359212
2	231865001	232090000	19.8292729840686
3	830001	950000	9.84765125955926
3	1260001	1335000	9.75793980124422
3	2190001	2300000	34.7155724378232
3	3200001	3530000	14.8950580377959
3	4985001	5145000	17.4357039788281
3	8430001	8560000	11.9566826140662
3	10855001	11060000	11.716073971598
3	15535001	15625000	10.0444495373574
3	15910001	16050000	12.2774460384493
3	25460001	25600000	11.8513035869179
3	59335001	59450000	9.74248204342493
3	60330001	60550000	19.7430194255779
3	68740001	68790000	14.5048939400826
3	115125001	115280000	12.2642826950164
3	124260001	125080000	23.7206946964218
3	125835001	126040000	20.3550849575388
3	147465001	147690000	9.66570897680296
3	147765001	1.48e+08	22.6378559958584
3	163790001	163845000	10.7844981111448
3	169020001	169180000	14.8636091538225
3	174535001	174750000	12.6462591929316
3	176900001	177095000	10.7102420968846
3	177350001	177510000	10.1189415928197
3	180850001	180985000	9.99950010941654
3	181405001	181660000	10.7961728676199
3	192065001	192360000	9.78020572243031
3	193925001	194005000	12.2506902449949
3	197015001	197065000	9.5442294100929
3	197295001	197485000	12.2019741768998
3	198625001	198745000	51.6085284423694
3	199165001	199265000	9.89766682692039
3	200935001	201135000	13.4470636029475
3	201450001	201605000	14.0144417743936
3	203265001	203335000	28.1613366369527
3	225020001	225155000	11.819012478855
3	225460001	225590000	10.2442869412878
3	226805001	226950000	15.0233166359783
3	229155001	229280000	12.245131160686
3	230860001	231070000	11.7250903997935
3	231440001	231490000	9.45781236890082
3	232345001	232590000	9.98347252370212
4	5165001	5470000	15.5286078854114
4	8945001	9315000	12.8214670684943
4	10575001	10950000	12.2882415284431
4	14820001	14965000	10.6971410635812
4	31005001	31260000	14.5001273117707
4	32875001	32970000	31.6957035888997
4	33665001	33960000	9.86178552590002
4	39910001	39975000	14.0537950821493
4	47730001	47850000	11.5633409533388
4	101340001	101455000	9.92752530457673
4	133790001	133890000	10.2255441248352
4	134115001	134325000	14.0131319126986
4	134865001	135255000	15.186274969477
4	144605001	144845000	26.3434177107778
4	145080001	145565000	23.0806155816302
4	147125001	147235000	11.1947725526994
4	153230001	153990000	20.2063359099842
4	157625001	157775000	25.0015480729021
4	158275001	158505000	21.1869519719467
4	159530001	159580000	9.66743981773732
4	160865001	161125000	11.3608122251802
4	163490001	163670000	20.796088605785
4	173415001	173530000	18.8284442905189
4	181545001	181635000	9.96154820642028
4	181685001	181755000	14.8750585151672
4	183910001	184020000	9.92913774116079
4	195940001	196020000	9.81304951932793
4	196090001	196225000	9.93329057446294
4	199100001	199295000	31.6282235870901
4	199590001	199705000	16.5207752230529
4	199915001	200060000	12.3635230450963
4	204140001	204305000	9.78969677729032
4	207295001	207360000	12.4080021738337
4	212280001	212650000	10.1423116816427
4	219985001	220060000	10.5599858675716
4	222625001	222825000	20.338615699512
5	4805001	5035000	14.3924488464967
5	5650001	5735000	16.9643707706301
5	14000001	14235000	12.8177662752332
5	16520001	16675000	17.228329228003
5	33465001	33665000	13.260222959635
5	35135001	35425000	14.4758459214059
5	43965001	44065000	14.2776627114528
5	44210001	44390000	30.3508778923419
5	44860001	45995000	21.9447689414164
5	46515001	46815000	21.6925064890926
5	46920001	48470000	102.099871796224
5	50035001	50275000	20.8978154176084
5	59655001	60105000	29.6729171044185
5	60280001	60980000	93.5058620028891
5	73045001	73120000	13.7360439167953
5	73290001	74815000	53.0073103830654
5	74915001	75305000	23.8418219892432
5	82235001	82465000	11.834561886472
5	87370001	87530000	10.2367832380893
5	139445001	139760000	13.425324865449
5	139830001	139950000	10.4144762789695
5	140870001	141170000	9.29701490814688
5	186085001	186280000	13.1742860596279
5	192355001	192445000	13.1576984520532
5	194680001	194920000	29.6735157378064
5	206455001	206550000	12.1893888216056
5	216135001	216220000	9.40653024062215
5	218500001	218760000	9.6582339328142
6	64985001	65225000	9.42923762573156
6	69855001	69960000	11.3602880472109
6	79815001	79965000	20.6660437763913
6	80390001	80475000	12.5776984808739
6	90925001	91060000	10.9239840099694
6	95720001	95830000	13.4393500455603
6	96725001	97040000	16.3127204099862
6	99375001	99440000	15.1279643059904
6	100040001	100225000	65.4736978346024
6	102955001	103385000	57.8551080892616
6	110490001	110565000	16.4871291954113
6	118875001	118935000	15.3924702659426
6	121020001	121085000	9.55482278621537
6	129165001	129370000	18.1513542450264
6	137930001	137980000	13.4683447280138
6	151350001	151450000	10.2829921991856
6	161200001	161305000	17.045144745043
7	1815001	1915000	9.68621220423597
7	3005001	3200000	9.6021060162733
7	5065001	5245000	23.8391945664557
7	7470001	7590000	24.0625989975669
7	14420001	14515000	9.55221988101016
7	18280001	18515000	12.3285459040505
7	19705001	19875000	21.930504337724
7	40865001	41065000	17.8203143200881
7	92510001	93080000	18.0594179935784
7	93800001	94185000	18.3286096117143
7	94245001	94955000	16.4204107038025
7	96180001	96700000	9.32259311510677
7	98965001	99550000	11.6562233020887
7	103370001	103575000	23.8297043528278
7	107860001	108045000	15.4648460023748
7	111465001	111660000	23.2897486051601
7	171895001	172200000	21.7765626872804
8	840001	910000	12.7674520595451
8	4985001	5260000	16.0360959842795
8	9635001	9820000	9.48003999379637
8	11580001	11945000	24.8969207648641
8	12510001	12635000	27.0776619799431
8	13580001	13750000	24.9517493972374
8	15010001	15140000	62.5100874679152
8	30325001	30520000	11.6255652662924
