SNP	Chromosome	Position	P.value
S1_341913	1	341913	6.95842501326518e-06
S1_5910621	1	5910621	1.21397703003783e-06
S1_15179989	1	15179989	1.50672202365994e-06
S1_15180023	1	15180023	1.16891814216708e-06
S1_15570688	1	15570688	8.33444498291108e-06
S1_94417453	1	94417453	7.06275481967327e-06
S1_156702117	1	156702117	6.98517743633355e-06
S1_156702120	1	156702120	3.04799695224325e-06
S1_285819743	1	285819743	8.06466218348083e-06
S2_2688433	2	2688433	3.5877204610551e-06
S2_4540130	2	4540130	8.33380257885815e-06
S2_4540869	2	4540869	7.75159677288944e-06
S2_4547567	2	4547567	8.37908914261724e-06
S2_24261006	2	24261006	8.36409353479509e-06
S2_36510337	2	36510337	3.06465612593541e-06
S2_124132756	2	124132756	8.66181091197851e-07
S2_124132758	2	124132758	2.86919155186115e-06
S2_124132759	2	124132759	6.73468986620702e-06
S2_217601090	2	217601090	6.10727890073071e-07
S3_13689767	3	13689767	9.14873914467343e-06
S3_18880004	3	18880004	6.63506355290854e-06
S3_200599716	3	200599716	5.98459739228614e-06
S3_227755073	3	227755073	8.08146670457309e-06
S3_229274563	3	229274563	6.29766056670187e-06
S4_241185541	4	241185541	6.86686876860663e-06
S5_60098016	5	60098016	5.00279886950269e-06
S5_60107503	5	60107503	1.61929693351124e-06
S5_60107524	5	60107524	7.41046482796874e-06
S5_219239847	5	219239847	1.62601585929982e-06
S6_3166181	6	3166181	5.34459921192789e-06
S6_149959151	6	149959151	8.56970902733809e-06
S6_153812014	6	153812014	2.10694143161358e-07
S6_153955686	6	153955686	5.02185817238109e-06
S6_153956898	6	153956898	1.48677789105183e-06
S6_153957366	6	153957366	1.15891604319972e-06
S6_153957367	6	153957367	1.269872740075e-06
S6_153977947	6	153977947	9.72519537218599e-06
S6_153978318	6	153978318	9.17503974363888e-06
S6_153980670	6	153980670	1.39608009076815e-06
S6_153980733	6	153980733	5.70060195449932e-06
S6_153981287	6	153981287	8.61151186293242e-06
S6_153981618	6	153981618	6.49817478329309e-06
S6_154002937	6	154002937	3.23290956293115e-06
S6_154003147	6	154003147	7.93995111369802e-06
S6_154003848	6	154003848	3.9604354399605e-06
S6_154004196	6	154004196	1.9422686135918e-06
S6_154004232	6	154004232	2.78252633261286e-06
S6_154004417	6	154004417	9.64656404313938e-06
S6_154004418	6	154004418	8.8104929472233e-06
S6_154006190	6	154006190	2.95391432288198e-06
S6_154006250	6	154006250	3.12956788824069e-06
S6_154007253	6	154007253	8.65854778328263e-06
S6_154007929	6	154007929	7.89038960327233e-06
S6_154008346	6	154008346	1.87316741442344e-06
S6_154008368	6	154008368	2.02083131408042e-06
S6_154008866	6	154008866	7.99742206710794e-06
S6_154009643	6	154009643	1.17590233035176e-06
S6_154009793	6	154009793	9.03663283079517e-06
S6_154018009	6	154018009	7.72027941586933e-06
S6_154207754	6	154207754	5.59311697219317e-06
S8_98851087	8	98851087	1.34345192984022e-06
S8_134175035	8	134175035	9.08018987816909e-06
S8_134194743	8	134194743	1.47386982154364e-06
S8_134194799	8	134194799	9.34479805272773e-06
S10_10643628	10	10643628	5.26874006544078e-06
