trait	pval	eff	std	Nhap1	hap1	Nhap2	hap2	Nhap3	hap3
HN.B	0.0927493376685006	-0.990476553380138	0.58648467982753	126	17.2356143414286	71	15.8825093804225	17	16.5309792894118
HN.Ca	0.158074574429625	-0.0134679257190713	0.00950830470731221	129	0.415541965821705	77	0.408148684363636	18	0.414145479666667
HN.CHL	0.276733781675319	5.58871028727211	5.1255901193364	133	396.771733213534	78	404.476561897436	18	394.445801377778
HN.Cu	0.0814964033111429	0.565789665689624	0.323270625992004	131	11.3408382041985	74	11.8320818821892	18	11.2723747293333
HN.DW	0.310215659214479	0.191887082634375	0.188645849150946	126	7.15983024565873	76	7.51566746376316	18	6.89218621761111
HN.Fe	0.551722521593512	0.52139003828357	0.874689701740608	133	101.061287028797	78	101.658989458718	18	103.375425514444
HN.FW	0.207792865555126	1.24511457704939	0.985425038649227	123	30.5301269682927	76	32.5769389782895	18	29.1502726722222
HN.K	0.0204457511870475	0.0682532142918619	0.0292346623381699	133	2.29977482915038	79	2.35194915397468	18	2.25907203788889
HN.LA	0.479600577005548	20.2722117439024	28.627800880736	133	1228.0040798985	79	1263.74912120127	18	1174.11995853889
HN.Mg	0.687375300231174	-0.00234603197087933	0.00582215659678029	132	0.207639732825758	77	0.204365088649351	18	0.207580350166667
HN.Mn	0.676115991253176	1.13082639823346	2.70280944007628	120	73.2603525081667	69	74.489378293913	15	76.1087745013333
HN.N	0.711559882259385	0.00555143947346738	0.0149944258617441	133	2.81622213371429	78	2.81567585605128	18	2.80485611088889
HN.P	0.76640840006303	0.00107124258153833	0.00360155596002774	132	0.298205388189394	79	0.297119143506329	18	0.297925286444444
HN.S	0.59639116078401	-0.000925377798895534	0.00174480458833788	132	0.184176321166667	78	0.182923968628205	18	0.191220085777778
HN.Zn	0.382168999153462	-0.784020136707477	0.895204882386196	121	28.185787282314	72	26.54733903375	17	28.9383170564706
LN.B	0.41757547748596	-0.279523473924077	0.344130467857921	126	14.7629092718254	70	14.3722377002857	17	14.6507547164706
LN.Ca	0.352519640892493	-0.00960323746101486	0.0103067517658032	127	0.331697570740157	75	0.327337707573333	18	0.342450619666667
LN.CHL	0.543674135056115	2.79990714550492	4.6034379590118	129	279.56249625969	77	282.979629490909	18	284.741235261111
LN.Cu	0.222515021939256	0.269315393753277	0.220043757501624	117	6.65577223016239	66	6.85024351381818	11	6.75334509572727
LN.DW	0.305862361567251	0.139221048998	0.135641807389588	127	5.88450813615748	76	6.08426608407895	18	5.61223230033333
LN.Fe	0.702630368411816	-0.350203690818777	0.916116858933489	132	75.0567582124242	76	74.752557705921	18	76.5621095383333
