id	chrom	pos	XPCLR
10_100885001_100935000	10	100910000.5	5.61688487823187
10_107065001_107115000	10	107090000.5	9.69177475287
10_108920001_108970000	10	108945000.5	7.15328910469387
10_109055001_109105000	10	109080000.5	8.28960260999747
10_109060001_109110000	10	109085000.5	9.03039966660734
10_109070001_109120000	10	109095000.5	6.47130148668396
10_113945001_113995000	10	113970000.5	5.74719347503151
10_114945001_114995000	10	114970000.5	5.92329671847864
10_116150001_116200000	10	116175000.5	5.9705275821243
10_116800001_116850000	10	116825000.5	14.7045934757316
10_116805001_116855000	10	116830000.5	23.3405917634643
10_116880001_116930000	10	116905000.5	21.9455147420856
10_116885001_116935000	10	116910000.5	17.5540954202939
10_116955001_117005000	10	116980000.5	13.9781577377827
10_116960001_117010000	10	116985000.5	15.5356592777387
10_118320001_118370000	10	118345000.5	29.799151017466
10_118570001_118620000	10	118595000.5	20.9208952620543
10_118575001_118625000	10	118600000.5	9.36221964700235
10_118850001_118900000	10	118875000.5	6.87437505562195
10_125540001_125590000	10	125565000.5	13.6842670148286
10_125545001_125595000	10	125570000.5	18.9595534911172
10_125550001_125600000	10	125575000.5	12.7711202731203
10_125555001_125605000	10	125580000.5	6.40696914674817
10_125560001_125610000	10	125585000.5	15.662412277055
10_125565001_125615000	10	125590000.5	13.1120582484451
10_125625001_125675000	10	125650000.5	8.31466982494283
10_125635001_125685000	10	125660000.5	6.39926787494002
10_125695001_125745000	10	125720000.5	19.9395968490816
10_127980001_128030000	10	128005000.5	7.19939651435178
10_135425001_135475000	10	135450000.5	8.20077670850878
10_137010001_137060000	10	137035000.5	5.71112574399035
10_137190001_137240000	10	137215000.5	7.09514145174023
10_138915001_138965000	10	138940000.5	5.68195232137217
10_139615001_139665000	10	139640000.5	21.3890332913018
10_140510001_140560000	10	140535000.5	7.34193298239518
10_144670001_144720000	10	144695000.5	5.51790733227222
10_144745001_144795000	10	144770000.5	5.79306355882375
10_144995001_145045000	10	145020000.5	10.1564329390176
10_145170001_145220000	10	145195000.5	12.5342970884494
10_145775001_145825000	10	145800000.5	11.7685800955982
10_147310001_147360000	10	147335000.5	6.10868569098596
10_147800001_147850000	10	147825000.5	6.33954721098712
10_148695001_148745000	10	148720000.5	8.47104378483732
10_148705001_148755000	10	148730000.5	8.01216500313126
10_148870001_148920000	10	148895000.5	8.89084461742277
10_149215001_149265000	10	149240000.5	9.23013890204402
10_149540001_149590000	10	149565000.5	7.39387933441049
10_00130001_00180000	10	155000.5	7.20100331028914
