Chr	Start	End	LR
1	510001	620000	548.418568580238
1	9555001	9640000	164.860148544242
1	15070001	15120000	115.524916452862
1	17725001	17775000	99.5924028400465
1	25260001	25365000	151.605835255183
1	38550001	38640000	150.603408748284
1	38690001	38785000	261.874145485589
1	45840001	45940000	320.561741946541
1	51070001	51175000	148.638286462714
1	66000001	66055000	153.462105630289
1	70005001	70120000	141.230586482867
1	70250001	70355000	277.70842184983
1	70525001	70615000	128.958163295027
1	79040001	79165000	387.74734055144
1	79695001	79800000	192.415668079921
1	80715001	80780000	109.648994102278
1	81410001	81505000	125.445434253589
1	81565001	81660000	110.408091353268
1	85785001	85865000	131.578315350714
1	93695001	93805000	795.478190081985
1	101475001	101525000	91.4923639076577
1	110015001	110065000	130.398117143362
1	121825001	121875000	92.3268636288708
1	124465001	124565000	116.632834140805
1	158970001	159070000	447.72851514077
1	166760001	166810000	100.12083638157
1	176010001	176085000	129.55600969917
1	177455001	177505000	147.706956219364
1	180875001	180930000	108.658468178481
1	181975001	182055000	157.857662661973
1	185025001	185100000	99.6407226670887
1	189520001	189570000	91.4198253300447
1	191120001	191220000	236.009120011238
1	195875001	195925000	131.331385143165
1	199370001	199470000	165.1732571556
1	202030001	202085000	134.939162949165
1	207070001	207185000	162.536376643233
1	215090001	215190000	212.607995405295
1	219435001	219485000	92.2684375478529
1	223970001	224020000	103.18932548318
1	225075001	225170000	118.437854444711
1	227805001	227870000	173.957862578443
1	233550001	233615000	137.407946127057
1	235820001	235880000	114.760832443373
1	239075001	239175000	195.551182452821
1	239660001	239755000	302.222973373005
1	243140001	243200000	91.9655397911837
1	256260001	256360000	514.198291887487
1	257705001	257755000	127.576175724286
1	259240001	259325000	96.8064227158017
1	268320001	268395000	124.160786080532
1	271375001	271425000	91.1241109141854
1	273225001	273395000	381.062553253299
1	274500001	274725000	196.985190357109
1	277890001	278025000	389.950068864872
1	285890001	285955000	136.443929098679
1	287605001	287705000	264.26083395073
1	288530001	288625000	168.424769201493
1	291835001	291915000	142.097292594157
1	293690001	293745000	132.389863522265
1	296135001	296230000	284.08310913766
2	2765001	2865000	318.794609652543
2	3615001	3725000	136.909922110659
2	12180001	12280000	291.190604870571
2	14685001	14770000	129.793778958087
2	15625001	15715000	104.416343845656
2	15925001	16030000	197.59334439815
2	16725001	16820000	374.254121856551
2	26245001	26335000	144.299186036284
2	42000001	42050000	95.6617902494124
2	47680001	47735000	139.903386335088
2	49595001	49645000	132.730107553029
2	58955001	59070000	181.236507328917
2	59500001	59555000	116.430543686965
2	70600001	70650000	96.348859510813
2	74975001	75095000	104.389981608507
2	82665001	82760000	154.917012233704
2	84450001	84500000	105.712213095142
2	95970001	96065000	112.521442144213
2	99585001	99635000	89.5442368321937
2	100820001	100915000	116.270799794397
2	105790001	105905000	216.83977541853
2	106860001	106955000	97.6319122592758
2	108470001	108530000	117.006941273479
2	109840001	109935000	90.1988384105555
2	110055001	110120000	126.677937460954
2	114390001	114485000	117.837250820379
2	117670001	117755000	101.255076041197
2	120015001	120110000	129.235955952808
2	133870001	133955000	100.838129394911
2	137990001	138085000	127.989497942872
2	138425001	138485000	128.016552420494
2	142355001	142465000	237.224477157672
2	145085001	145165000	129.305008827674
2	154655001	154740000	140.078843982695
2	156260001	156360000	363.438818572936
2	162045001	162095000	106.043582689196
2	171215001	171265000	92.4398796611992
2	192220001	192330000	288.878575383849
2	196575001	196655000	132.493485650091
