Chr	Start	End	LR
1	510001	620000	357.802776624601
1	15070001	15120000	99.5456357795933
1	17485001	17535000	83.4222681559685
1	17725001	17785000	74.5131736608312
1	22055001	22105000	62.2932525809589
1	28435001	28530000	65.7082399556516
1	34140001	34195000	87.1015502097431
1	38550001	38640000	89.3209499993534
1	38690001	38785000	233.898750137045
1	45850001	45935000	116.735444337233
1	47520001	47625000	161.398727388855
1	51080001	51175000	81.4243682649942
1	54775001	54825000	59.6653444404777
1	55005001	55105000	168.129083937574
1	55500001	55560000	127.95775663858
1	66005001	66055000	75.8942549663298
1	70525001	70620000	148.551066827854
1	79060001	79160000	151.925053955075
1	79690001	79800000	81.1368576200283
1	93695001	93805000	792.60395086561
1	97460001	97515000	78.2029924916593
1	101475001	101525000	65.956887425854
1	102905001	102955000	65.6577900501833
1	110010001	110065000	138.099840779236
1	121825001	121875000	60.3855643754048
1	125595001	125650000	61.5002423654385
1	146690001	146790000	66.0612521909205
1	158970001	159070000	467.442733657835
1	169750001	169845000	68.8766943040705
1	170170001	170235000	74.9132812753163
1	172305001	172370000	120.85543733593
1	176015001	176085000	74.9260870034509
1	177455001	177505000	86.0694201915018
1	179015001	179065000	65.2855854276019
1	180875001	180950000	108.501706855359
1	181975001	182055000	105.926335172202
1	191125001	191220000	72.9567854428987
1	195875001	195925000	63.0271753350043
1	198275001	198340000	64.5458600633519
1	199135001	199185000	70.8419709258905
1	202030001	202085000	88.0370653181812
1	206855001	206905000	68.9746662445688
1	207055001	207185000	158.893649317249
1	214980001	215040000	76.8584415650982
1	215090001	215190000	303.017762769064
1	222845001	222895000	101.401326837265
1	225080001	225170000	84.7208593901216
1	225460001	225510000	67.4609291589381
1	227050001	227145000	77.2329792215801
1	227385001	227450000	75.7726305953079
1	233550001	233615000	99.5041729336689
1	235820001	235875000	67.3040351217091
1	236740001	236790000	63.7323097466393
1	239075001	239175000	136.290015412669
1	239660001	239710000	69.8142679968342
1	254535001	254590000	66.1647064594567
1	256260001	256355000	369.904475542219
1	257705001	257760000	120.028450333938
1	259235001	259330000	102.003967449342
1	263300001	263380000	67.4875192462962
1	271370001	271420000	60.367293128937
1	273225001	273395000	413.748639694836
1	274500001	274725000	327.864786877153
1	277895001	278020000	233.172574964924
1	284480001	284530000	91.2539437813517
1	285890001	285950000	74.7017730592047
1	287605001	287705000	273.742186361424
1	288530001	288625000	193.370685115189
1	293690001	293745000	109.504479603381
1	294570001	294665000	73.7496667824032
1	296130001	296230000	283.440239089391
2	2770001	2865000	195.763477349121
2	3615001	3715000	177.692082668824
2	4955001	5010000	102.587327710251
2	12180001	12275000	132.196640670081
2	14690001	14770000	83.8643883199431
2	15925001	16045000	216.940555316916
2	16725001	16820000	308.636153658348
2	26245001	26335000	92.4905966753974
2	27255001	27360000	167.319148246052
2	28000001	28050000	72.5176819333066
2	28360001	28465000	80.9359012621199
2	35360001	35415000	68.1576606502446
2	42000001	42050000	64.7770633234858
2	45590001	45665000	91.5679810608044
2	47680001	47735000	89.9874251820066
2	58955001	59070000	212.109143687315
2	59500001	59555000	88.7732887650316
2	70565001	70650000	74.4111818384262
2	74975001	75095000	91.7362754919499
2	82665001	82760000	98.7975673106342
2	84450001	84500000	85.8069627708658
2	95880001	96065000	118.460147131667
2	100820001	100915000	69.3395696553732
2	105810001	105905000	168.123889965191
2	106860001	106955000	87.7424651754303
2	108450001	108525000	82.5604807166782
2	109185001	109285000	111.147728994912
2	109460001	109510000	61.2263097216927
2	109840001	109935000	70.4358341386951
2	110055001	110120000	107.760023024004
2	110220001	110285000	74.2361870201068
2	110780001	110875000	85.124849356392
2	117670001	117755000	64.2170768276852
2	120015001	120115000	149.52879489071
2	134110001	134190000	99.6607744091584
2	134380001	134435000	63.639529526653
2	137990001	138085000	114.953101683754
2	138425001	138520000	122.035634865728
2	142355001	142465000	149.805362737074
2	145070001	145165000	104.871434801741
2	148510001	148580000	63.4662656899086
2	154670001	154740000	78.7320154172342
2	156260001	156355000	93.9825934327336
2	160625001	160690000	81.4316104981125
2	165475001	165525000	60.3733358521744
2	168305001	168385000	126.43630825742
2	168675001	168725000	75.7870125327157
2	169525001	169575000	67.2418904187084
2	169735001	169830000	85.4921402382797
2	171215001	171270000	67.2499781936139
2	175605001	175655000	61.1633618054884
2	185630001	185690000	102.661319880561
2	185890001	185945000	59.8172812682398
2	192225001	192330000	133.852059917666
2	209180001	209315000	281.798139965862
2	224375001	224425000	61.2315522407889
2	228325001	228395000	105.739995925373
2	231540001	231590000	64.1095712951932
2	236040001	236090000	76.5440396290286
2	238145001	238230000	164.909404069911
2	244045001	244140000	132.534304540063
2	244200001	244255000	121.762036688244
3	195001	340000	108.699205505706
3	3620001	3675000	134.599500061645
3	11525001	11580000	93.3718254727838
3	22970001	23065000	120.08232261822
3	23665001	23715000	69.0733034164297
3	33415001	33465000	70.5994170115463
3	37360001	37460000	90.1566295119856
3	40100001	40165000	140.962013702135
3	46415001	46465000	60.0640441264512
3	47520001	47615000	158.011825529322
3	54720001	54820000	145.288093968664
3	56945001	57040000	74.2057099131635
3	57905001	57955000	68.6624850660026
3	58490001	58545000	64.233607589914
3	65375001	65425000	61.113412572426
3	66230001	66425000	208.226949730942
3	69665001	69745000	63.4573415277018
3	95555001	95670000	98.4528707907715
3	107635001	107685000	66.246518399341
3	108705001	108830000	168.169816092519
3	116005001	116060000	82.56562779585
3	121730001	121790000	80.3399153041261
3	124160001	124220000	61.7966094935446
3	124320001	124370000	60.4991973182046
3	124550001	124600000	89.2676584961245
3	129630001	129680000	65.9016110460209
3	136690001	136785000	79.1140420417396
3	144770001	144825000	94.8437735736968
3	150460001	150530000	65.4660612058615
3	156035001	156085000	86.0914955078851
3	159575001	159625000	71.604640413199
3	163300001	163350000	59.8663630331796
3	167225001	167320000	149.887174770421
3	170220001	170270000	63.7133684142054
3	184020001	184075000	80.6826705636968
3	186295001	186390000	86.0197331550422
3	192190001	192250000	100.279573864738
3	193445001	193545000	384.751339531271
3	197270001	197365000	105.101704662475
3	206695001	206790000	145.741875022703
3	214880001	2.15e+08	194.789824096074
3	217585001	217660000	62.7228690352887
3	224935001	225025000	84.4327372902226
3	230125001	230225000	81.6378579520797
3	233335001	233445000	87.0948985220334
4	7105001	7200000	125.446279156696
4	17070001	17140000	93.0096014593889
4	18595001	18690000	124.183695851221
4	21465001	21530000	80.1408877515078
4	32200001	32295000	83.1836913759194
4	56230001	56335000	68.3380604071567
4	62770001	62825000	92.8456656334329
4	73800001	73850000	60.9636164935335
4	77485001	77580000	76.1246230861775
4	83035001	83100000	74.6907761663635
4	116550001	116655000	129.928721061935
4	122120001	122175000	121.105770574522
4	126910001	126960000	93.8795043645989
4	133455001	133550000	86.7535704543493
4	140065001	140120000	70.3327509095465
4	147065001	147115000	66.7855882784069
4	148980001	149030000	74.0127794765043
4	152360001	152410000	59.9370022831991
4	152680001	152735000	113.975808623311
4	156670001	156750000	59.5371712099608
4	157040001	157115000	106.742754293533
4	165630001	165695000	123.753282966394
4	173945001	174040000	273.469548576626
4	177780001	177875000	74.7194871532933
4	188990001	189080000	120.451225772591
4	191395001	191500000	341.52687753021
4	199820001	199875000	70.5838432058952
4	200390001	200515000	399.917836138092
4	202500001	202605000	180.563237129264
4	211845001	211910000	101.687369293569
4	216475001	216530000	71.4605325765448
4	218800001	218885000	69.8370899419357
4	220095001	220145000	59.4029467249747
4	225570001	225705000	81.2539087910287
4	227550001	227650000	142.49871116577
4	230585001	230670000	86.8804651501974
4	232750001	232800000	69.1752229645411
4	234140001	234245000	291.036393103157
4	234980001	235030000	71.4998646963785
4	235525001	235580000	90.3255919748062
4	235985001	236080000	59.6114302434218
4	240560001	240615000	81.0314628832057
4	243160001	243255000	105.384681746748
5	8365001	8425000	73.3934909183014
5	10210001	10260000	60.4911583121908
5	21910001	22025000	138.530098942946
5	22105001	22165000	81.4264431072825
5	23990001	24055000	76.2912879530516
5	26615001	26665000	64.5690264836656
5	26900001	27040000	108.286182087225
5	28550001	28680000	311.659469782036
5	34270001	34355000	81.0995558054488
5	37860001	37915000	97.8976776419235
5	43370001	43425000	91.7137895272196
5	54130001	54230000	102.112915254253
5	63975001	64030000	86.625162877662
5	73735001	73835000	201.011875939946
5	77060001	77110000	64.9205515613197
5	79340001	79440000	85.8657177325782
5	80240001	80335000	244.50183775829
5	87445001	87495000	59.914240917038
5	88395001	88485000	101.679664337626
5	95950001	9.6e+07	74.4195726751226
5	96660001	96755000	73.683210359455
5	98780001	98865000	75.1378273850311
5	113980001	114115000	87.3240215445273
5	117475001	117570000	92.3282121290422
5	134975001	135050000	83.53048358258
5	142350001	142435000	65.6370471323125
5	143060001	143110000	62.7369059438175
5	144575001	144625000	82.7696303234144
5	148425001	148505000	74.0729998500942
5	150245001	150300000	150.529633764367
5	150675001	150805000	101.522557409909
5	150915001	150975000	91.6167121371272
5	154260001	154355000	63.8745213364061
5	154605001	154660000	94.6220210649221
5	156745001	156795000	60.0043236301118
5	158895001	158995000	132.171273061632
5	162700001	162780000	81.7816299830021
5	162915001	163010000	122.728893311931
5	164940001	164995000	98.9792326459616
5	165455001	165570000	162.46656642966
5	167465001	167565000	202.191729294333
5	172415001	172475000	62.1775181435185
5	174970001	175020000	78.31326015358
5	192010001	192110000	118.322520519206
5	199090001	199185000	123.643531773289
5	200185001	200335000	118.48863086947
5	202515001	202610000	121.386890099123
5	202795001	202865000	108.101388991222
5	203290001	203370000	92.697620528546
5	203960001	204015000	120.153542142211
5	206755001	206805000	84.2230779538374
5	218180001	218275000	167.846840529601
6	9560001	9610000	70.3331671057519
6	17225001	17275000	66.5106338579532
6	38765001	38850000	101.489846613552
6	43615001	43675000	70.4190865626767
6	44365001	44490000	103.041590324908
6	45235001	45285000	104.723456095666
6	45670001	45775000	171.459084640042
6	58490001	58575000	86.1210982702106
6	62600001	62735000	170.793223402159
6	64920001	64980000	154.111861814924
6	67275001	67350000	87.3210916057339
6	68445001	68500000	66.8687036010616
6	74120001	74190000	77.7253696237496
6	74280001	74375000	151.824203763375
6	91785001	91880000	190.481000779228
6	92460001	92555000	62.7908368009333
6	98535001	98600000	109.673079275074
6	102035001	102130000	82.1349485515195
6	107850001	107900000	61.5135829007463
